,Movie,Year,Certificate,Genre,Overview,Runtime,Rating,No.of.Ratings
367,Padi Padi Leche Manasu,2018.0,U,"Drama, Romance            ","    Set in Kolkata, the romantic drama chronicles the shared destiny of a young couple as they navigate through the highs and lows of a budding relationship.",158,6.4,778
368,Punya Bhoomi Naa Desam,1994.0,,Action            ,"    Punya Bhoomi Naa Desam is a 1994 Indian Telugu film, Directed by A Kodandarami and Produced by Mohan Babu The film Stars Mohan Babu, Meena and Dasari Narayana Rao in lead roles. The music of the film was composed by Bappi Lahiri.",140,6.4,775
369,Quick Gun Murugun: Misadventures of an Indian Cowboy,2009.0,,"Action, Comedy, Drama            ",    A once-dead vegetarian cowboy is sent back to life to battle a beef-eating villain.,97,5.9,775
370,Adavilo Anna,1997.0,,"Action, Drama            ","    Adavilo Anna is a 1997 Indian Telugu film, directed by B. Gopal and Produced by Mohan Babu. The film stars Mohan Babu, Roja, Manoj Kumar Manchu and Tanikella Bharani in lead roles. The ...                See full summary »",150,5.5,775
371,Thamizh Padam,2010.0,U,Comedy            ,"    A Movie kidding about the usual scenes used in vernacular, mostly Tamil movies.",160,7.3,771
372,Ek Niranjan,2009.0,A,Action            ,"    A bounty hunter searches for the family he was separated from as a child, and falls in love with the sister of a gang member.",150,5.2,768
373,Annavaram,2006.0,UA,"Action, Drama            ",    This is the story of a brother who wanted to give his sister the best of everything.. a pure sentiment story on family.,175,4.8,768
374,Bindaas,2010.0,,"Action, Drama, Family            ",    Ajay (Manoj Manchu) and his parents are estranged from their joint family in Rayalaseema. Ajay belongs to the family of Mahendra Naidu (Ahuti Prasad). Seshadri Naidu (Jaya Prakash Reddy) is...                See full summary »,143,6.8,767
375,Prema Katha Chitram,2013.0,,"Drama, Horror            ",    Three friends and a stranger go to a house and plan to commit suicide. But later they realize the house is haunted,130,7.1,766
376,Jagadeka Veerudu Athiloka Sundari,1990.0,U,"Action, Comedy, Family            ",    A man finds a ring that gives the bearer great power but the goddess to whom the ring belongs wants it back.,153,8.0,760
377,Vismayam,2016.0,U,Drama            ,    The film narrates the life of four persons and their struggle for their survival in differnt situations..,164,7.7,759
378,Missamma,1955.0,U,"Comedy, Drama, Family            ","    Two unemployed college graduates from Madras, Rao and Mary act as if they are a married couple to get a job as school teachers in a small village called Appapuram. The story unfolds into an...                See full summary »",181,8.5,754
379,Gaddalakonda Ganesh,2019.0,UA,"Action, Thriller            ","    An aspiring filmmaker who wants to direct a realistic story, stumbles upon a menacing villain and to learn the nitty-gritties of the villain's character, he puts his and his friend's life on the line.",130,6.6,752
380,Oka Laila Kosam,2014.0,UA,"Comedy, Romance            ",    After his post-graduate studies Karthik takes a holiday in Europe. On his return journey he falls in love at first sight with Nandana.The rest of the movie deals with the extent to which he will go to win her heart.,150,6.1,749
381,Venky Mama,2019.0,UA,"Action, Comedy, Drama            ",    A story of nephew and a son which revolves around their emotions and village drama and army based story.,149,5.5,748
382,Kick 2,2015.0,UA,"Action, Comedy, Romance            ","    An NRI doctor returns to India to sell his property, but winds up falling in love.",170,5.1,747
383,Gayatri,2018.0,UA,"Drama, Family            ","    Sivaji, a stage artist, finds whereabouts of his daughter who disappeared two decades ago and finds out that the kidnapper, Gayatri Patel, is an exact lookalike of him.",125,6.5,746
384,180,,U,"Drama, Romance            ",    A young man Ajay (cancer victim) meets two lovely women Renu (wife) and Vidya (journalist) in his life.,121,6.0,742
385,Shourya,2016.0,UA,"Romance, Thriller            ",    Shourya and Netra who have eloped to get married get involved in a bigger complication when one of them gets viciously attacked along their way.,124,6.9,733
386,Ashta Chamma,2008.0,U,Comedy            ,    Ashtachemma Lavanya (Colors Swati) is a hardcore fan of hero Mahesh Babu. And her ambition is to marry hero Mahesh. But her heart is broken when Mahesh married Namrata Sirodkar. She lowers ...                See full summary »,126,7.3,733
387,Sigappu Rojakkal,1978.0,A,"Drama, Thriller            ","    Kamal Haasan, the central character, is a man terribly soured by his unvaryingly devastating encounters with the opposite sex. He develops a pathological hatred for women and uses his charm...                See full summary »",129,7.8,732
388,LIE,2017.0,UA,"Action, Thriller            ","    Sathyam is hired by the National Investigation Agency to help catch Padmanabham, the master of disguise, by following a suit which he is assumed to have an obsession with.",145,5.9,730
389,Power,,A,Action            ,    Ravi Teja plays a young man desperate to become a police officer. He winds up getting embroiled in a plot to pose as his lookalike in order to re-capture an infamous criminal from rogue cops.,147,5.8,730
390,Dev,2019.0,U,"Action, Adventure, Romance            ","    Dev, a youngster from a well-to-do family, is an adventure seeker. When his friend playfully tries to set him up with Meghna, a businesswoman who has no time for love, Dev has to embark on an adventure of another kind.",157,4.8,727
391,Pataas,2015.0,A,"Action, Comedy            ",    A corrupt cop gets himself transferred to Hyderabad where he has a change of heart while trying to teach his estranged but dutiful father a lesson.,127,6.7,727
392,Okkadu Migiladu,2017.0,UA,Action            ,    Based on events during Srilankan civil war and Tamil refugees who were lost in sea without food and water for 10 days on their way to India.,141,7.2,725
393,Majnu,2016.0,UA,"Comedy, Drama, Romance            ",    An assistant director juggles relationships with two women while he writes a romantic comedy.,138,6.4,725
394,Srinivasa Kalyanam,2018.0,U,"Drama, Family            ","    ""Srinivasa Kalyanam"" illustrates the sacred bond with another human through nuptial rituals and the sanctity of the institution of marriage.",140,6.0,724
395,Luck Unnodu,2017.0,,Comedy            ,"    The ironically-named Lucky gets embroiled in a heist when a friend hands him a bag of cash, which was stolen from a don, who stole it from the bank, and will not rest until he recovers it.",118,5.6,724
396,Amma Nanna O Tamila Ammayi,2003.0,,"Action, Drama, Sport            ","    A former kick-boxer, after death of his wife, trains his son who hates him for boxing match for revenge on his former student.",154,7.3,715
397,Jayasurya,2015.0,U,"Action, Thriller            ",    A cop mistakenly believes that taking out three thugs will end Madurai's crime wave.,135,6.0,713
398,Bangaram,2006.0,A,"Action, Drama            ","    In order to join an international news channel, a fired reporter tries to obtain his boss's signature on a character certificate but is forced by circumstances to help the latter's daughter elope from her wedding.",178,4.7,710
399,Dora,2017.0,A,"Action, Horror, Thriller            ",    A father and a daughter purchase a used car which is possessed by an unknown dangerous spirit craving for revenge.,139,5.3,704
400,Don Seenu,2010.0,,"Action, Comedy            ","    To make himself known as a gang-leader, a man must woo the sister of a dangerous gangster.",164,6.0,704
401,Vunnadhi Okate Zindagi,2017.0,U,Drama            ,    It's about friendship between 2 friends and how their life changes when a new girl comes into their life and how their friendship will be impacted upon her arrival.,152,6.4,703
402,Krishnam Vande Jagadgurum,2012.0,UA,Action            ,"    In order to fulfill his promise to his grandfather, a man acts in a play in his native village, where he stumbles upon the truth about the death of his parents.",136,6.9,699
403,Killing Veerappan,2016.0,UA,"Action, Biography, Crime            ","    A master strategist is appointed following Veerappan's unabashed spate of crimes and murders. The official puts in place Operation Cocoon, which involves setting up a network of spies and informers.",151,7.3,697
404,Gunturodu,2017.0,,"Action, Comedy            ",    A man and woman meet in college and are on their way to a lifetime of happiness when their plans get hijacked.,142,6.4,693
405,Mr. Majnu,2019.0,UA,Romance            ,    A charming playboy who has never had a serious relationship finds himself in a spot of bother when he finally meets the right girl. Will they end up together? Or will his fear of commitment affect their relationship?,145,6.1,692
406,Not Today,2013.0,PG-13,Drama            ,"    While on vacation with friends in Hyderabad, India, Caden Welles - a privileged young man with the world at his disposal - takes an unexpected turn in life after initially refusing to help a starving man and his daughter.",103,5.7,687
407,Oy!,2009.0,,Romance            ,    Uday (Siddharth) is a rich and spoilt brat who believes in short term pleasures. Sandhya (Shamili) is a loner who lives on her own. She is a responsible girl with long term plans and strict...                See full summary »,166,6.7,687
408,Nuvve.. Nuvve...,2002.0,,"Drama, Romance            ",    A rich Businessman is obsessed with his daughter who falls for a poor guy.,168,7.4,685
409,Loukyam,2014.0,UA,"Action, Comedy            ",    Venky tries to right his wrongs by involving his family and also convince the girls side without getting messed up in between.,150,6.4,672
410,Swathi Muthyam,1986.0,U,"Drama, Family, Romance            ","    The story is of mentally slow man, whose life is recapped to his grand-daughter. How he meets his wife (who was a widow), earns his living and fights the injustice he and his wife face.",160,8.3,672
411,Life Is Beautiful,2012.0,U,"Drama, Romance            ","    It is a coming of age story of six youngsters, set in the beautiful nostalgic world of a working-middle class neighborhood. The film tracks their journey through the different seasons, ...                See full summary »",167,6.4,671
412,Yuvaraju,2000.0,,Romance            ,"    A love traingle.Srinivas(Mahesh Babu) and Srivalli(SakshiSivanand) are college mates who fall in love and decide to get married.Twist in tale occurs when SriLatha(Simran),Childhood friend ...                See full summary »",165,5.7,671
413,Chal Mohan Ranga,2018.0,U,Romance            ,"    Mohan Ranga falls in love with Megha Subramanyam, an NRI residing in the United States. Before she can reciprocate his love, circumstances make them fall apart. But destiny has other plans.",148,5.8,667
414,Vamsee,2000.0,,Action            ,    Vamsee(Mahesh babu) a fashion designer who got fell in love with Shilpaa(Namratha) a fashion college student when they went for a fashion contest in Australia.After the contest they came ...                See full summary »,145,4.8,662
415,Endukante... Premanta,2012.0,U,"Comedy, Fantasy, Romance            ","    Unfortunate lovers of past meet in this life. But the meeting encounters escape from Paris, from terrorists and struggle to bring back the love to life. What ensues is a series of comedy ...                See full summary »",154,6.1,655
416,Veyyil,2006.0,UA,Drama            ,    Story of two brothers told from the perspective of older brother who recalls his childhood memories where he runs away from home and returns after 20 years. The rest of the film is all ...                See full summary »,136,7.7,655
417,Mallesham,2019.0,,Biography            ,"    The life of Padma Shri winner Chintakindi Mallesham, who invented the the Asu machine that processes yarn for sarees mechanically, is being recreated in this biopic.",131,8.5,652
418,Attack,,,"Action, Crime, Thriller            ","    Guru Raj, a powerful businessman, is killed and one of his three sons, Kaali, vows to find the culprit. When he is also killed, Radha, Kaali's brother, vows to uncover the killer and exact revenge.",158,6.1,639
419,Mosagallaku Mosagadu,2015.0,,"Action, Comedy, Crime            ",    Revolves around god statues stealing issues in India.,127,6.2,639
420,Kandireega,2011.0,,"Action, Comedy, Romance            ",    Seenu (Ram) is a street-smart guy who shifts to Hyderabad from Anakapally to complete his degree in a college. He falls in love with Sruthi (Hansika Motwani) who also attends the same ...                See full summary »,130,6.2,638
421,Raju Gari Gadhi 2,2017.0,UA,"Comedy, Horror, Thriller            ","    Rudra, a mentalist and a medium, helps track down a ghost that is haunting a resort.",117,5.3,633
422,Superstar Kidnap,2015.0,UA,Thriller            ,    Three youngsters meet accidentally in a drug deal plan to kidnap superstar maheshbabu to come out of their financial and personal crisis.,120,6.8,627
423,Pournami,2006.0,,"Action, Drama, Mystery            ","    A young woman, who has trained for a ceremonial dance, unexpectedly disappears. A stranger with a secret past arrives in town and offers to teach the dance to the woman's younger sister.",160,5.8,626
424,Ninne Pelladatha,1996.0,UA,"Romance, Comedy, Drama            ","    Raju and Mahalaxmi meet at a marriage ceremony and both are attracted to each other. They soon fall deeply in love with each other, and decide to inform their respective parents of their ...                See full summary »",146,7.6,624
425,Shailaja Reddy Alludu,2018.0,UA,"Action, Comedy, Drama            ",    The son of an egoistic businessman falls in love with an egoistic girl and has to convince her egoistic mother in order to marry her.,147,5.1,621
426,Jamba Lakidi Pamba,2018.0,,"Comedy, Fantasy            ",    This is the story of a man and woman who were joined together by destiny and how they were thrown into the brink of divorce due some unexpected twists and turns. The film will be a complete...                See full summary »,141,6.6,619
427,Jaya Janaki Nayaka,2017.0,UA,"Action, Romance            ","    Gagan and Sweety fall in love but are forced to break up because her father disapproves of him. While defending a family from thugs one day, Gagan unknowingly saves Sweety and vows to protect her.",149,5.1,617
428,Akkada Ammayi Ikkada Abbayi,1996.0,U,"Action, Romance            ","    Nazar's daughter Supriya and Saratbabu's son Kalyan study in same college, where they both engage in few fights.Slowly love blossoms under these petty things. But their parents are rivals in the town.",159,5.2,610
429,Pichhodu,2019.0,UA,Drama            ,"    A heartfelt story about soulmates. The film revolves around Rishi, who is on the search for true love. Protagonist Rishi lost his mother when he was a kid. She committed suicide due to his ...                See full summary »",0,9.5,605
430,Bobby,2002.0,,"Drama, Romance            ",    Love between two youngsters leads to a dispute between two families.,161,3.7,605
431,Okka Kshanam,2017.0,UA,"Action, Romance, Thriller            ","    Jeeva (Allu Sirish) leads a happy life with his lover turned life partner Surabhi, until he gets to know his neighbor and their life. The couple witnesses bizarre coincidences and ...                See full summary »",150,7.0,603
432,Achari America Yathra,2018.0,UA,"Comedy, Family            ","    Achari tricks his Guru into taking a group trip to the US to pursue his dream girl, whom he met in India.",135,5.8,603
433,Sathyaa,1988.0,U,"Action, Crime, Drama            ",    Sathya (Kamal Hassan) is a young man who wants to make a difference and ends up becoming a henchman to a political leader who has his own agenda.,147,7.8,601
434,Bengal Tiger,2015.0,UA,"Action, Comedy            ","    Akash gets rejected by a girl because he isn't popular. Insulted, Akash starts doing whatever he can to become the talk of the town.",145,5.1,600
435,Ashok,2006.0,A,Action            ,"    A quick-tempered auto-mechanic is desperate to reconcile with his pacifist father; but a threat from a blood-thirsty mobster forces him to fight for the sake of his family, friends, and love.",0,5.7,596
436,Coolie No. 1,1991.0,,"Action, Drama, Romance            ",nan,146,6.5,596
437,Pathala Bhairavi,1951.0,U,"Action, Adventure, Family            ","    A poor man, in love with a princess, is persuaded by an evil sorcerer to help him get the blessing of a Goddess.",192,8.5,592
438,Goutham Nanda,2017.0,UA,"Action, Drama            ",    The son of a billionaire decides to take an extreme step by leaving behind his riches and swapping his life with a depressed techie look-alike who wants to be a billionaire.,155,6.4,591
439,Gang Leader,1991.0,U,"Action, Drama            ","    Rajaram, an unemployed easygoing person, takes revenge on his elder brother's murderers and gets his separated family members together.",155,7.8,591
440,Golmaal,2003.0,,Comedy            ,    4 homeless youngsters hide their identity and moves to the house of a blind couple.,130,7.0,588
441,Mahanubhavudu,2017.0,UA,"Comedy, Drama, Romance            ",    A kind-hearted person must face his OCD condition in order to win his love back.,151,6.4,587
442,118,2019.0,UA,"Action, Thriller            ",    A recurring nightmare involving the murder of a young woman prompts an investigative journalist on a quest to find out whether there is any truth to the dream.,120,6.6,586
443,Heart Attack,2014.0,A,"Action, Romance            ",    A commitment phobic hippie falls in love with a woman and chases her much to get dismay and aims to get what he needs.,142,5.3,586
444,Dictator,2016.0,UA,"Action, Drama            ","    Chandu lives a normal life with his in laws in Hyderabad. One fine day, he comes across an aspiring actress Sonala helps her in a critical situation. The problems gets big and Chandu lands himself in a huge mess.",155,4.2,585
445,Idiot,2002.0,U,"Action, Comedy, Romance            ","    Chanti who gets beaten up black and blue is rescued by a girl who takes care of him in the hospital, till he gets fine. He falls for this unknown girl. Will he ever find her and convey his feelings?",139,7.1,585
446,Neninthe,2008.0,UA,"Action, Drama            ",    A wanna be director's struggle in the film industry. The problems he faces and how he overcomes them.,126,6.8,583
447,Rarandoi Veduka Chudham,2017.0,UA,"Action, Romance            ","    While attending a wedding, a gregarious young man falls in love with a stubborn woman.",145,5.6,581
448,Aswathama,2020.0,UA,"Action, Thriller            ",    A man works to uncover the details behind a series of crimes targeting women.,133,6.4,579
449,Yamajaathakudu,1999.0,,"Action, Comedy, Fantasy            ",nan,140,4.9,579
450,Jaanu,2020.0,UA,"Drama, Romance            ","    Decades post-high school, Ram and Jaanu meet at their school's reunion and explore their past thoughts consisting of affection, care, depth and grieve all over the period of one evening.",151,7.0,574
451,Neevevaro,2018.0,,"Action, Romance, Thriller            ","    As Kalyan, a blind chef and Vennela, who comes visiting him at his restaurant, fall in love and start making plans for their future, Vennela goes missing. Series of unexpected and shocking events follow.",130,6.9,570
452,Power Unlimited 2,2018.0,UA,Action            ,    A peaceful man completely devoted to his family finds his violent past resurfacing.,147,4.8,570
453,Guru,2017.0,U,"Action, Drama, Sport            ",    A curmudgeonly boxing coach sees the potential in a young woman; his belief in her changes her life.,116,7.9,568
454,Kee,2019.0,UA,"Action, Thriller            ","    A man falls in love with a girl and tries to impress her. However, their life takes a serious turn when they fall victim to cyber-bullying.",138,5.1,567
455,Jagadam,2007.0,A,Action            ,    A young man is drawn to violence but finds out that it's easier to get into violent situations than out of them.,163,6.8,566
456,Daruvu,2012.0,UA,"Action, Comedy, Fantasy            ",    In Yamalokam retirement age comes from Senior Yama and he gives charge to his Son. However experienced Chitragupta is retained much to his disappointment. He decides to teach a lesson to ...                See full summary »,159,5.0,565
457,Damarukam,2012.0,UA,"Action, Drama, Fantasy            ",    A demon born from darkness plans to take over the world by marrying a girl with ominous horoscope.,157,5.3,565
458,Super,2005.0,UA,"Action, Comedy            ","    Sonu, his sister, Sasha, and their friend, Akhil, live a poor lifestyle in India. While Sasha has given her heart to Akhil, he treats her as a close friend and confidant. Times get so tough...                See full summary »",151,5.1,564
459,Krishna: The Power of Indrakeeladri,2008.0,,"Action, Comedy, Drama            ","    The film is about Krishna, who was once a software engineer but quits his job to give it to his friend and is unemployed in the city of Vijayawada. Sandhya is a girl from Hyderabad who ...                See full summary »",147,6.3,561
460,Chakram,2005.0,,Drama            ,"    A medical student with a secret inexplicably abandons his bride-to-be and hometown, but his past catches up to him.",0,6.0,561
461,Size Zero,2015.0,U,"Comedy, Romance            ","    Sweety, an obese woman, is shocked when her friend falls sick after joining a slimming centre. So she begins a campaign to highlight the importance of being fit rather than slim.",125,5.4,556
462,Bhadra,2005.0,A,Action            ,"    Bhadra sees Raja's sister Anu on a video & falls in love with her. Badra visits Raja's home & he realises that, Raja's family is highly involved in feud actions. In a rival gang fight ...                See full summary »",153,6.7,555
463,Erra Buss,2014.0,,"Comedy, Drama            ","    The film tells the story of an orphaned boy who is raised single-handedly by his grandfather. After growing up, he gets a good job and falls in love with the perfect girl. But his ...                See full summary »",140,6.2,548
464,Lakshmi's NTR,2019.0,U,Drama            ,"    The life of iconic politician Nandamuri Taraka Ramarao (NTR) after meeting Lakshmi Parvathi, his second wife.",152,6.9,537
465,Dhoni,,,"Drama, Family            ","    A 14 year old boy aspires to become an attacking wicketkeeper-batsman, where his father wants his son to become a MBA graduate.",135,6.7,537
466,Appatlo Okadundevadu,2016.0,,Drama            ,"    Railway Raju has just one dream: to play cricket for the Indian team. However, life throws him a googly.",125,7.8,536
467,Akhil,2015.0,UA,"Action, Fantasy            ",    A cruel businessman attacks a tribal village for a stone which the people treat as something special. A guy who thinks he is somehow related to the stone comes to their aid.,130,3.7,530
468,Daana Veera Soora Karna,1977.0,U,"Action, Drama, Fantasy            ","    Abandoned at birth, brave and loyal Karna grows up to acquire skills as a warrior to battle the Pandavas.",233,8.8,530
469,Aadhi Bhagavan,2013.0,A,Action            ,    An action film about two criminals in which one wants the other to get killed.,157,5.3,525
470,Devudu Chesina Manushulu,2012.0,,"Action, Comedy, Fantasy            ","    The gods get involved in mortal struggles, turning back time to rewrite small histories and spread happiness to mortals and immortals alike.",124,3.6,524
471,Falaknuma Das,2019.0,A,"Action, Thriller            ","    Set in the backdrop of the colonies of falaknuma where a group of youngsters fall into unexpected consequences which lead them to a driving pathway of violence, brutality and ruthlessness.",145,6.3,523
472,Raju Maharaju,2009.0,,Family            ,nan,155,6.2,522
473,Adhipathi,2001.0,,"Action, Drama            ","    Yogendra (Mohan Babu) is the son of Panduranga Rao (Vijayakumar), a High Court judge who got first rank in civil services examinations. Dunnapothula Janardhan Rao (Narra Venkateswara Rao), ...                See full summary »",151,5.5,521
474,Peda Rayudu,1995.0,,"Action, Drama            ","    Pedarayudu is the story of three brothers who are inseparable and always thrive for the well being of the people in their village. Pedarayudu (Mohan Babu), the eldest sits on the ancestral throne to deliver justice in the village. Their lives take a turn when the younger brother Raja (Mohan Babu) is accused of killing a teacher. How does Raja prove his innocence forms rest of the story.",165,7.2,521
475,Nela Ticket,2018.0,UA,"Action, Drama            ",    A carefree young man is forced to grow up fast after he incurs the wrath of a corrupt politician.,120,4.5,515
476,Prati Roju Pandaage,2019.0,U,"Drama, Family            ","    With only a few weeks left to live, an aging grandfather is visited by his grandson who wishes to fulfill his desires.",146,6.2,515
477,Veera,1994.0,U,"Comedy, Romance            ","    A talented musician from a village migrates to a city, becomes popular and marries the daughter of a music company owner. But then his first wife, whom he presumed dead, turns up and his life becomes complicated.",240,6.6,515
478,Kotha Bangaru Lokam,2008.0,,Romance            ,    Balu is son of lovable middle-class couple. Swapna is the daughter of a strict and rich father. Both of them study in a residential college located at a small town of Godavari district. ...                See full summary »,160,6.8,514
479,Santosham,2002.0,U,"Drama, Romance            ","    After losing the man she loves to her cousin, a woman gets her hopes up when he is widowed.",150,7.1,513
480,Venky,2004.0,,"Action, Mystery            ",    Venky and his friends are accused of murdering a girl's father and sister,162,7.3,511
481,Jai Simha,2018.0,UA,"Action, Drama            ",    A rowdy mechanic with a golden-heart turns into a body guard to save a family from goons.,159,4.7,510
482,Nuvve Kavali,2000.0,U,Romance            ,    Best friends develop feelings for each other but cannot seem to sync their emotions.,153,7.5,508
483,Samba,2004.0,UA,Action            ,    Violence breaks out in rural India when a good-hearted leader is killed and his son seeks revenge.,162,4.9,507
484,Lava Kusa,,U,"Drama, Family, Musical            ",    This movie deals with the later part of Ramayana written by Valmiki Maharshi and depicts the lives of the sons of Rama & Sita.,153,8.1,504
485,George Reddy,2019.0,U,Action            ,"    George Reddy is a biopic based on the life of a student leader, boxer and Gold medalist, who influenced the politics of Andhra Pradesh state in Osmania University between 1967 and 1972. He ...                See full summary »",153,7.2,500
486,Subramanyam for Sale,2015.0,,Comedy            ,    Subramanyam joins Seetha to pose as a couple and win a prize.,150,6.0,499
487,Bhoot Returns,2012.0,A,"Horror, Mystery, Thriller            ","    A family moves into a possessed bungalow. A sudden turn of events in the house leaves them astonished. When things worsen, escape seems to be their last resort.",85,2.5,499
488,Suswagatham,1997.0,U,"Drama, Romance            ","    Ganesh loves Sandhya obsessively , but she is not interested in him. His relentless pursuit leads to a lot of problems. However, everything changes the day he loses his father in an accident.",151,7.1,499
489,Dohchay,2015.0,,Action            ,    A conman faces his biggest threat when he is in urgent need for a lump sum and a policeman is after him to catch him red handed.,138,5.9,497
490,Andala Rakshasi,2012.0,UA,Romance            ,"    Goutham deeply loves Mithuna, but will not acknowledge it to her. Meanwhile, Mithuna falls in love with Surya. Later, a sudden incident changes the lives of the trio.",139,7.2,494
491,Raja,,U,Family            ,"    A man and his friend commit petty thefts to make a living. After they break into a woman's house one day, one man's life changes forever.",175,7.5,493
492,Sambo Siva Sambho,2010.0,UA,"Action, Drama            ","    A man marries the daughter of his father's archenemy. The marriage lasts one week, and then things get even more complicated.",160,6.8,491
493,Okkadunnadu,2007.0,A,"Action, Thriller            ",    An ailing gangster with a rare blood group targets a man with the similar blood group to get his heart for a vital transplant.,119,7.3,490
494,Manmadhudu 2,2019.0,UA,"Comedy, Drama, Romance            ","    Under pressure to marry, a perennial bachelor hires a much younger woman to act as his fiancée, but her bond with his family throws his plan for a loop.",155,4.8,489
495,Paisa Vasool,2017.0,UA,"Action, Comedy            ",    A local officer recruits a deadly gangster to take down a crime lord.,138,4.4,486
496,Lakshmi,,U,Drama            ,    A young girl dreams of winning the 'Pride of India Jr.' title in the National dance competition.,130,6.9,484
497,Chantabbai,1986.0,U,"Comedy, Mystery            ",    A comedy about the famous (Self-proclaimed) detective - James Pond - as he tries to find the lost son of a famous industrialist,134,8.1,484
498,Anji,2004.0,U,"Action, Adventure, Drama            ","    Orphaned Arjun lives a poor lifestyle in an ashram along with his mentor, known simply as Guruji, and several other younger orphans in a forest region, Shivgiri which is accessible via ...                See full summary »",148,5.8,484
499,Dhada,2011.0,UA,"Action, Comedy            ",    An Indian engineering student in the U.S. gets in trouble with local gangsters and must resolve his problems to return to his lady-love in India.,147,3.7,483
500,Uthama Puthiran,2010.0,,"Comedy, Romance            ","    Siva (Dhanush) is asked to help a friend in a love marriage. Siva kidnaps Pooja (Genelia D'Souza) on a mistaken identity from the marriage hall. When Pooja is kidnapped, her uncles (both ...                See full summary »",169,5.6,482
501,Jai Chiranjeeva,2005.0,U,"Action, Comedy, Drama            ","    Sathyanarayana Murthy, a farmer from Amalapuram, swears vengeance on criminals who killed his niece.",174,5.8,482
502,Magalir Mattum,1994.0,Unrated,"Comedy, Drama, Thriller            ","    Three female employees are fed up with their lecherous boss, and they come up with a plan to get even. Unfortunately, he ends up in the hospital and they are stuck with the dead body of a terrorist.",132,7.3,482
503,Anaganaga O Dheerudu,2011.0,PG-13,"Action, Adventure, Family            ","    In a teardrop-shaped land called Sangarashtra, a 9-year-old girl with special healing powers tries to save her homeland from the tyranny of an evil queen with the help of a blind swordsman.",133,5.1,478
504,Supreme Khiladi,2016.0,UA,"Action, Comedy            ","    Balu (Sai Dharma Tej ), a cab driver, gets involved in a fight against the mafia when he comes across a child that the mob wants dead.",142,6.1,476
505,Aakali Rajyam,1981.0,A,Drama            ,    A young revolutionary rejects the future his parents chose for him and travels to Delhi to forge his own life and according to his own ideals. His quest to find a job that does not entail ...                See full summary »,138,8.1,476
506,Okka Magadu,2008.0,A,"Action, Comedy, Drama            ","    Veera Venkata Satyanarayana Swamy(Balakrishna) is a good samaritan. He helps his fellow villagers in their need. When the police blame him for a few murders, a vigilante named Okka Magadu(...                See full summary »",150,2.1,474
507,Phoonk 2,2010.0,A,"Drama, Horror, Mystery            ","    While on vacation, children and their father are terrorized by their mother and wife respectively.",110,3.1,472
508,Tappu Chesi Pappu Koodu,2002.0,,Comedy            ,nan,147,5.4,467
509,Bhairava Dweepam,1994.0,U,"Action, Adventure, Comedy            ",    A royal prince is raised by adoptive parents and experiences romance and adventure on his way to his destiny.,162,7.8,466
510,Needi Naadi Oke Katha,2018.0,U,Drama            ,"    A middle-class youth raises his voice against the traditional, standardized system of education that does not take into account each student's skill and nor make them think.",121,7.8,462
511,Narasimha Naidu,2001.0,,"Action, Drama            ",    Revenge story between two neighboring villages with one headed by a bad person and the other headed by a good person.,161,7.0,462
512,Guru,1980.0,U,"Action, Crime, Drama            ",    A rich philanthropist has a secret occupation as a master thief.,159,6.5,462
513,Chintakayala Ravi,2008.0,,"Comedy, Drama, Romance            ",    Ravi who works in a bar pretends that he is a software engineer in America for the sake of his mother and finally revealed due to marriage reasons. He then finds true love and his mother realizes the reason behind his work.,150,5.5,460
514,Yogi,2007.0,UA,"Action, Drama            ",    A mother from a small village searches for her son in Hyderabad; unaware that he has changed his name and is now both a target and a threat for all the gangsters of the city.,155,4.5,458
515,Yaman,2017.0,U,"Action, Drama, Thriller            ","    After losing his father to a bunch of scheming politicians, a young man decides to wade into the corrupt and unscrupulous world of politics to avenge his death.",152,6.2,456
516,Anando Brahma,2017.0,U,"Comedy, Horror            ","    An NRI wants to sell his ancestral home, but later hears rumours of it being haunted. Unwilling to sell the property at a throwaway price, he asks a team of four guys to spend a night in the house and prove that it isn't a ghost den.",123,6.7,454
517,Vanaja,2006.0,,Drama            ,"    Vanaja, the 15 year old daughter of a financially troubled fisherman goes to work in the local landlady's house in hopes of learning Kuchipudi dance. She does well, but when the Landlady's ...                See full summary »",111,7.1,452
518,Raja Vaaru Rani Gaaru,2019.0,UA,Romance            ,"    Raja Vaaru Rani Gaaru is the story of Raju who falls in love with Rani but is unable to express his emotions. Set in a beautiful village, watch as Raju and two of his friends deal with the toils and troubles of romance.",133,7.6,443
519,Gangotri,2003.0,U,"Action, Drama, Romance            ",    Neelakantha Naidu (Prakash Raj) had a daughter Gangotri (Aditi Agarwal) after a long time. But as per her horoscope the infant child has a threat from water. So Neelakantha always takes ...                See full summary »,0,4.6,440
520,Golimar,2010.0,A,Action            ,    An 'encounter specialist' police officer becomes famous for killing criminals and finds himself targeted by gangsters and corrupt officers.,160,5.9,435
521,Narasimhudu,2005.0,A,"Action, Drama            ",    A villager pretending to be mute comes to the city and avenges his sister's rape by the hands of powerful city gangsters.,0,2.9,434
522,Swayam Krushi,1987.0,U,Drama            ,    Story of a cobbler who believes in hard work and righteousness.. This movie is about respecting the importance of manual labor.,164,8.3,434
523,Mental Madhilo,2017.0,UA,"Comedy, Drama, Romance            ","    An indecisive guy who has been rejected by several women, finds himself in a spot when he has to choose between two women.",142,7.4,433
